;;R1-D;R1-F;P1-D;P1-F;GH1-D;GH1-F;AU1-D;AU-F;M1-D;M1-F;M2-D;M2-F;AU2-D;AU2-F;GH2-D;GH2-F;P2-D;P2-F;R2-D;R2-F
1;NM1;684;4284;4576;5244;5292;6404;7084;8204;8724;11296;11604;13560;13672;14900;15428;16404;16480;17132;17244;20844
2;RY1;11056;14288;14644;15100;15344;16432;16836;17832;18468;20856;21280;23192;23284;24464;24952;25872;25988;26504;26616;28616
4;BK1;3784;7412;7408;8376;8468;9404;9920;11132;11476;13636;14096;16296;16412;17532;18448;19308;19396;20352;20340;23992
5;MT1;2468;6068;6500;7244;7388;9160;9748;10980;11412;13440;13836;15964;16180;17428;17892;19096;19164;20020;20104;23652
6;EK1;2820;6424;6712;7364;7636;9740;10448;11540;12048;14180;14500;16320;16740;17724;18252;19792;19820;20460;21616;25380
7;RY2;2548;6148;7420;8020;8048;9468;9916;10980;11396;13508;13852;15956;16088;17188;17596;18776;18812;19508;19792;23392
8;KSG1;3828;7428;7748;8468;8548;9548;9840;10996;11428;13988;14636;16748;16860;17620;18420;19228;19436;20068;20628;24228
9;NM2;3936;7536;7716;8468;8536;10836;11276;12596;12940;15052;15668;17456;17556;18916;19376;20396;20556;21196;21596;25196
10;AD1;3820;7420;7496;8196;8360;9336;9816;10880;11252;13096;13496;15476;15584;16696;17016;17696;17816;18812;19036;22636
11;GM1;4440;8432;9428;9980;10172;11540;12040;13232;13576;15880;16280;18320;18400;19608;20256;21200;21240;21800;22320;26092
12;SJ1;4876;8744;8996;9516;9704;11444;11916;13064;13596;15704;16092;18280;18424;19584;20064;21144;21144;22344;22460;26060
13;NM3;3816;7416;7456;8088;8216;9616;10196;11568;11816;14064;14376;16788;16988;18096;18772;19836;19912;20540;20856;24456
14;GM2;4232;7876;8180;8744;8792;10912;11408;12432;13472;15476;16016;18352;18444;19592;20032;20912;21032;21520;21752;25352
